ID,name,author,status
1,100 Años De Soledad,Gabriel García Márquez,True
2,Mujercitas,Louisa May Alcott,True
3,El Principito,Antoine De Saint-Exupery,False
4,El Gran Gatsby,F. Scott Fitzgerald,False
5,Cumbres Borrascosas,Emily Brontë,True
6,Anna Karenina,Leo Tolstoy,False
7,Fahrenheit 451,Ray Bradbury,Leído
8,Rebeca,Daphne Du Maurier,False
9,Orgullo Y Prejuicio,Jane Austen,False
10,Moby-Dick,Herman Melville,False
11,Emborrachame De Amor,Hector Lavoe,No leído
12,Mi Mundo,Luis Enrique,No leído
13,Contigo Aprendí,Cheo Feliciano,No leído
